Albany Park,194,14,21323,10,32.9,32,19.2,11.3
Armour Square,314,34,16148,16.7,34.5,38.3,40.1,5.7
Austin,229,25,15957,22.6,24.4,37.9,28.6,6.3
Avalon Park,151,45,24454,21.1,10.6,39.3,17.2,1.4
Avondale,421,21,20039,9.2,24.7,31,15.3,6
Belmont Cragin,87,19,15461,14.6,37.3,37.3,18.7,10.8
Burnside,121,47,12515,18.6,19.3,42.7,33,6.8
Calumet Heights,128,48,28887,20,11,44,11.5,2.1
Chatham,234,44,18881,24,14.5,40.3,27.8,3.3
Douglas,124,35,23791,18.2,14.3,30.7,29.6,1.8
Dunning,433,17,26282,10,16.2,33.6,10.6,5.2
East Garfield Park,504,27,12961,19.6,21.3,43.2,42.4,8.2
Edison Park,294,9,40959,6.5,7.4,35.3,3.3,1.1
Forest Glen,184,12,44164,6.8,4.9,40.5,7.5,1.1
Fuller Park,328,37,10432,33.9,26.6,44.9,51.2,3.2
Grand Boulevard,178,38,23472,24.3,15.9,39.5,29.3,3.3
Hermosa,428,20,15089,13.1,41.6,36.4,20.5,6.9
Humboldt park,162,23,13781,17.3,35.4,38,33.9,14.8
Hyde Park,166,41,39056,8.4,4.3,26.2,18.4,1.5
Irving Park,315,16,27249,10,22.4,31.6,13.1,6.3
Jefferson Park,175,11,27751,12.4,13.4,35.5,8.6,2.7
Kenwood,176,39,35911,15.7,11.3,35.4,21.7,2.4
Lake View,495,6,60058,4.7,2.6,17,11.4,1.1
Lincoln Park,343,7,71551,5.1,3.6,21.5,12.3,0.8
Lincoln Square,241,4,37524,8.2,13.4,25.5,10.9,3.4
Logan Square,168,22,31908,8.2,14.8,26.2,16.8,3.2
Loop,244,32,65526,5.7,3.1,13.5,14.7,1.5
Lower West Side,204,31,16444,15.8,40.7,32.6,25.8,9.6
Montclaire,221,18,22014,13.8,23.5,38.6,15.3,8.1
Near North Side,337,8,88669,7,2.5,22.6,12.9,1.9
Near South Side,118,33,59077,4.9,7.4,21.8,13.8,1.3
Near West Side,608,28,44689,10.7,9.6,22.2,20.6,3.8
North Center,369,5,57123,5.2,4.5,26.2,7.5,0.3
North Lawndale,311,29,12034,21.2,27.6,42.7,43.1,7.4
North Park,214,13,26576,9.9,14.4,39,13.2,3.9
Norwood Park,219,10,32875,9,11.5,39.5,5.4,2
Oakland,160,36,19252,28.7,18.4,40.4,39.7,1.3
Portage Park,287,15,24336,12.6,19.3,34,11.6,4.1
Pullman,143,50,20588,22.8,13.1,38.6,21.6,1.5
Rogers Park,273,1,23939,8.7,18.2,27.5,23.6,7.7
Roseland,168,49,17949,20.3,16.9,41.2,19.8,2.5
South Chicago,164,46,16579,19.7,26.6,41.1,29.8,4.7
South Lawndale,184,30,10402,15.8,54.8,33.8,30.7,15.2
South Shore,192,43,19398,20,14,35.7,31.1,2.8
Uptown,328,3,35787,8.9,11.8,22.2,24,3.8
Washington Park,146,40,13785,28.6,25.4,42.8,42.1,5.6
West Garfield Park,200,26,10934,25.8,24.5,43.6,41.7,9.4
West Ridge,592,2,23040,8.8,20.8,38.5,17.2,7.8
West Town,581,24,43198,6.6,12.9,21.7,14.7,2.3
Woodlawn,810,42,18672,23.4,16.5,36.1,30.7,2.9
